passage,criticalsign
1.2,diple
1.3,diple
1.5,dotteddiple
1.7,dotteddiple
1.12,asteriskos
1.13,asteriskos
1.14,asteriskos
1.15,asteriskos
1.16,dotteddiple
1.17,diple
1.26,diple
1.29,obelos
1.30,obelos
1.31,obelos
1.42,dotteddiple
1.51,diple
1.52,diple
1.56,dotteddiple
1.58,dotteddiple
1.59,dotteddiple
1.60,dotteddiple
1.62,diple
1.65,dotteddiple
1.68,diple
1.69,dotteddiple
1.73,dotteddiple
1.80,dotteddiple
1.93,dotteddiple
1.96,obelos
1.100,dotteddiple
1.103,asteriskos
1.104,asteriskos
1.110,obelos
1.133,obelos
1.139,obelos
1.148,dotteddiple
1.175,diple
1.177,asteriskos
1.184,dotteddiple
1.189,diple
1.192,obelos
1.194,dotteddiple
1.195,obelos
1.196,obelos
1.196,asteriskos
1.198,dotteddiple
1.200,diple
1.203,dotteddiple
1.204,dotteddiple
1.208,asteriskos
1.208,dotteddiple
1.209,asteriskos
1.209,dotteddiple
1.249,dotteddiple
1.251,dotteddiple
1.260,dotteddiple
1.262,dotteddiple
1.270,dotteddiple
1.271,dotteddiple
1.272,diple
1.275,diple
1.291,diple
1.295,diple
1.299,dotteddiple
1.305,dotteddiple
1.307,dotteddiple
1.310,dotteddiple
1.320,dotteddiple
1.330,dotteddiple
1.336,dotteddiple
1.338,diple
1.340,diple
1.351,dotteddiple
1.364,diple
1.365,diple
1.366,obelos
1.367,obelos
1.368,obelos
1.369,obelos
1.370,obelos
1.371,obelos
1.372,obelos
1.372,asteriskos
1.373,obelos
1.373,asteriskos
1.374,obelos
1.374,asteriskos
1.375,obelos
1.375,asteriskos
1.376,obelos
1.376,asteriskos
1.377,obelos
1.377,asteriskos
1.378,obelos
1.378,asteriskos
1.379,obelos
1.379,asteriskos
1.380,obelos
1.381,obelos
1.382,obelos
1.383,obelos
1.384,obelos
1.385,obelos
1.386,obelos
1.387,obelos
1.388,obelos
1.389,obelos
1.390,obelos
1.391,obelos
1.392,obelos
1.393,dotteddiple
1.402,diple
1.403,asteriskos
1.404,asteriskos
1.405,asteriskos
1.412,diple
1.424,obelos
1.425,diple
1.429,diple
1.443,diple
1.444,obelos
1.454,diple
1.459,diple
1.461,diple
1.467,diple
1.472,diple
1.473,diple
1.474,obelos
1.477,diple
1.493,diple
1.497,diple
1.526,diple
1.530,dotteddiple
1.564,dotteddiple
1.567,dotteddiple
1.572,dotteddiple
1.578,diple
2.2,diple
2.6,diple
2.8,diple
2.10,diple
2.27,asteriskos
2.27,obelos
2.36,diple
2.41,diple
2.45,diple
2.49,diple
2.55,diple
2.56,asteriskos
2.64,asteriskos
2.64,obelos
2.70,diple
2.76,obelos
2.77,obelos
2.78,obelos
2.79,obelos
2.80,obelos
2.81,obelos
2.82,obelos
2.87,asteriskos
2.89,dotteddiple
2.93,dotteddiple
2.106,diple
2.107,diple
2.108,diple
2.109,diple
2.110,dotteddiple
2.111,dotteddiple
2.115,dotteddiple
2.116,asteriskos
2.116,dotteddiple
2.119,dotteddiple
2.122,dotteddiple
2.124,obelos
2.125,diple
2.130,obelos
2.131,obelos
2.132,obelos
2.133,obelos
2.143,obelos
2.144,dotteddiple
2.148,diple
2.160,asteriskos
2.160,obelos
2.161,diple
2.161,asteriskos
2.161,obelos
2.162,asteriskos
2.162,obelos
2.164,asteriskos
2.164,obelos
2.167,diple
2.176,asteriskos
2.177,asteriskos
2.178,asteriskos
2.180,asteriskos
2.184,diple
2.186,diple
2.187,diple
2.188,reversedottedantisgma
2.189,diple
2.192,reversedottedantisgma
2.193,obelos
2.194,obelos
2.195,obelos
2.196,dotteddiple
2.196,obelos
2.197,obelos
2.203,dottedantisigma
2.204,dottedantisigma
2.205,dottedantisigma
2.217,diple
2.220,dotteddiple
2.226,dotteddiple
2.227,dotteddiple
2.229,diple
2.231,dotteddiple
2.238,diple
2.239,dotteddiple
2.247,diple
2.252,obelos
2.253,obelos
2.254,obelos
2.255,obelos
2.256,obelos
2.258,diple
2.260,diple
2.264,diple
2.269,diple
2.276,diple
2.278,diple
2.286,diple
2.291,diple
2.297,dotteddiple
2.299,dotteddiple
2.300,diple
2.302,dotteddiple
2.314,dotteddiple
2.318,dotteddiple
2.319,obelos
2.320,diple
2.328,diple
2.341,diple
2.349,diple
2.353,diple
2.356,diple
2.381,diple
2.385,diple
2.397,diple
2.412,diple
2.417,diple
2.422,diple
2.424,diple
2.435,dotteddiple
2.438,diple
2.440,dotteddiple
2.453,asteriskos
2.454,asteriskos
2.455,asteriskos
2.480,diple
2.485,dotteddiple
2.486,dotteddiple
2.498,diple
2.500,diple
2.502,dotteddiple
2.507,dotteddiple
2.511,diple
2.517,diple
2.520,dotteddiple
2.527,diple
2.528,dotteddiple
2.529,obelos
2.530,obelos
2.532,dotteddiple
2.547,diple
2.553,dotteddiple
2.570,diple
2.571,dotteddiple
2.579,dotteddiple
2.580,dotteddiple
2.581,dotteddiple
2.582,diple
2.590,diple
2.592,diple
2.596,diple
2.597,diple
2.599,diple
2.603,obelos
2.605,diple
2.612,dotteddiple
2.613,dotteddiple
2.614,dotteddiple
2.616,dotteddiple
2.621,diple
2.625,diple
2.626,dotteddiple
2.629,diple
2.631,obelos
2.634,dotteddiple
2.641,dotteddiple
2.642,dotteddiple
2.649,diple
2.658,dotteddiple
2.659,diple
2.667,dotteddiple
2.668,diple
2.669,obelos
2.670,diple
2.673,dotteddiple
2.674,dotteddiple
2.675,dotteddiple
2.681,diple
2.684,diple
2.689,diple
2.690,dotteddiple
2.694,dotteddiple
2.696,diple
2.697,dotteddiple
2.701,diple
2.718,dotteddiple
2.722,diple
2.724,dotteddiple
2.725,dotteddiple
2.727,dotteddiple
