iliad,page
1.title,12r
2.title,24r
3.title,42r
4.title,51r
5.title,62r
6.title,80v
7.title,91r
8.title,100v
9.title,111v
10.title,126r
1.1,12r
1.2,12r
1.3,12r
1.4,12r
1.5,12r
1.6,12r
1.7,12r
1.8,12r
1.9,12r
1.10,12r
1.11,12r
1.12,12r
1.13,12r
1.14,12r
1.15,12r
1.16,12r
1.17,12r
1.18,12r
1.19,12r
1.20,12r
1.21,12r
1.22,12r
1.23,12r
1.24,12r
1.25,12r
1.26,12v
1.27,12v
1.28,12v
1.29,12v
1.30,12v
1.31,12v
1.32,12v
1.33,12v
1.34,12v
1.35,12v
1.36,12v
1.37,12v
1.38,12v
1.39,12v
1.40,12v
1.41,12v
1.42,12v
1.43,12v
1.44,12v
1.45,12v
1.46,12v
1.47,12v
1.48,12v
1.49,12v
1.50,12v
1.51,13r
1.52,13r
1.53,13r
1.54,13r
1.55,13r
1.56,13r
1.57,13r
1.58,13r
1.59,13r
1.60,13r
1.61,13r
1.62,13r
1.63,13r
1.64,13r
1.65,13r
1.66,13r
1.67,13r
1.68,13r
1.69,13r
1.70,13r
1.71,13r
1.72,13r
1.73,13r
1.74,13r
1.75,13r
1.76,13v
1.77,13v
1.78,13v
1.79,13v
1.80,13v
1.81,13v
1.82,13v
1.83,13v
1.84,13v
1.85,13v
1.86,13v
1.87,13v
1.88,13v
1.89,13v
1.90,13v
1.91,13v
1.92,13v
1.93,13v
1.94,13v
1.95,13v
1.96,13v
1.97,13v
1.98,13v
1.99,13v
1.100,13v
1.101,14r
1.102,14r
1.103,14r
1.104,14r
1.105,14r
1.106,14r
1.107,14r
1.108,14r
1.109,14r
1.110,14r
1.111,14r
1.112,14r
1.113,14r
1.114,14r
1.115,14r
1.116,14r
1.117,14r
1.118,14r
1.119,14r
1.120,14r
1.121,14r
1.122,14r
1.123,14r
1.124,14r
1.125,14r
1.126,14v
1.127,14v
1.128,14v
1.129,14v
1.130,14v
1.131,14v
1.132,14v
1.133,14v
1.134,14v
1.135,14v
1.136,14v
1.137,14v
1.138,14v
1.139,14v
1.140,14v
1.141,14v
1.142,14v
1.143,14v
1.144,14v
1.145,14v
1.146,14v
1.147,14v
1.148,14v
1.149,14v
1.150,14v
1.151,15r
1.152,15r
1.153,15r
1.154,15r
1.155,15r
1.156,15r
