urn	text	simile	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.1	μηνιν αειδε	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.1	ζητουσι δια τι απο της μηνιδος ηρξατο ουτως δυσφημου ονοματοσ· δια δυο ταυτα· πρωτον μεν ιν' εκ του παθους απκαταρρευσῃ το τοιουτο μοριον της ψυχης και προσεκτικωτερους τους ακροατας επι του μεγεθους ποιησῃ και προσεθιζῃ φερειν γενναιως ημας τα παθη . μελλων πολλεμους απαγγελλειν· δευτερον . ινα τα εγκωμια των Ελληνων πιθανωτερα ποιησῃ· επει δε εμελλε , νικωντας αποφαινειν τους Ελληνας , εικοτως ου κατατρεχει αξιοπιστοτερον εκ του μη παντα χαριζεσθαι τῳ εκεινων επαινῳ· ηρξατο μεν απο μηνιδος επειπερ αυτη τοις πρακτικοις υποθεσις γεγονεν· αλλῳς τε και τραγῳδιαις τραγικον εξευρε προοιμιον· και γαρ προσεκτικους ημας η των ατυχηματων διηγησις εργαζεται· και ως αριστος ϊατρος , πρωτον αναστελλων τα νοσηματα της ψυχης υστερον την ϊασιν επαγει . Ελληνικον δε το προ τελει τας ηδονας επαγειν· ῾ϊστεον δε , ωσπερ επι συκης πρωτον μεν εστιν ολυνθος ειτα φιλιξ συκον ϊσχας . ουτω πρωτον· οργη · θυμος · χολος · κοτος · μηνις · ομως ο ποιητης ως συνωνυμοις ονομασιν επι Αχιλλεως χρηται ηε χολον παυσειεν , ερητυσειε τε θυμον · ουδ' οθομαι κοτεοντος , αυταρ ο μηνιε νηυσιν ·	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.2	μηνις	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.2	παρα το μενω μηνις ως ενος ηνις · οι δε περι Γλαυκωνα τον Ταρσεα ηξιουν οξυνειν το ονομα ουκ ορθως .	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.3	αειδε	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.3	οτι κατα την ποιητικην ητοι αδειαν η συνηθειαν λαμβανει τα προστακτικα αντι ευκτικων· και γαρ Ησιοδος φησι· δευτε δη εννεπετε , και Πινδαρος · μαντευο Μουσα , και Αντιμαχος ο Κολοφωνιοσ. εννεπετε Κρονιανος Διος μεγαλοιο θυγατρες · δευτερον δε οτι ου κατα αληθειαν ταις Μουσαις επιτασσουσιν , αλλ' εαυτοις ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.4	θεα	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.4	ουτως ειωθε την Μουσαν καλειν· αμελει και εν Οδυσσεια · ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.5	Πηληϊαδεω Αχιληος	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.5	ουτως αναγνωστεον δια του ενος λ και δια το μετρον και δια το αχος ο εστι λυπην επενεγκειν τοις Ιλιευσιν , οι δε παρα το μη θιγειν χειλεσι θηλης ολως γαρ ου μετεσχε γαλακτος ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.6	μυρια	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.6	τινες θρηνητικα· παρα το μυρεσθαι και επιθετον αυτο των αλγεων ηκουσαν , εφ οις μυριασθαι και το κλαυσαι , ουδεν δε ατοπον ει παρα Μουσων ταυτα ερωτᾳ φρονησις μεν γαρ εστιν η παντ ειδησισ· προαιρεσις δε ακριβης η των αμεινονων πραξεων αιρεσις ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.7	Αχαιοις	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.7	Ξουθος ο Αιολου παις , αγομενος Κρεουσαν την Ερεχθεως θυγατερα εσχεν εξ αυτης δυο παιδας , ΄Ϊονα και Αχαιον · ων ο μεν ΄Ϊων ῳκησεν Αθηνας , ο δε Αχαιος φονον εμφυλιον δρασας , παρεγενετο εις Θεσσαλιαν και κυριευσας της χωρας τους υποτεταγμενους , αφ εαυτου προσηγορευσεν Αχαιους , Ελληνες δε κοινως παντες οι της Ελλαδος εκληθησαν απο Ελληνος του Διος · πρωτοι ουν ουτως ελεγοντο οι εν Θεσσαλια ανοι  και ουτοι ου παντες , αλλα μονοι οι εν Ελλαδι τῃ πο  ετειτα μεγαλα δυναστευθεντος του Ελληνος , και των τουτου παιδων απ αυτου παντες εκληθησαν Ελληνες ⁑	0	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.8	ηρωων αυτους δε	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.8	οτι Ζηνοδοτος τους δυο αθετει· γινεται δε το προοιμιον κολον και προς τας ψυχας αντιδιεσταλκεν το αυτους δε επι τινων σωματων· ηρωας δε φασι κλνθηναι . απο της αρετης , η απο του αερος . ως φησιν Ισιοδος ηερα εσσαμενοι , η απο της ερασεως τουτεστι της μιξεως των θεων· οι γαρ θεοι θνηταις γυναιξι συνερχομενοι . εποιουν γενος το των ηρωων . η απο της ερας , ερα δε η γη κατα διαλεκτον· εκ δε της γης επλασθη το γενος των ανων  ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.9	Διος δ' ετελειετο βουλη	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.9	τινες συν τῳ ϊ κατα δοτικην οιον τη βουλῃ του Διος ετελειουτο ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.10	Διος δ' ετελειετο βουλη ⁑ εξ ου δη τα πρωτα	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.10	Αρισταρχος συναπτει ινα μη παρουσα τις φαινηται βουλη καθ' Ελληνων , αλλ αφ ου χρονου εγενετο η μηνις ινα μη τα παρα τοις νεωτεροις πλασματα δεξωμεθα ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.11	Διος βουλην	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.11	οι μεν την ειμαρμενην απεδοσαν· αλλοι δε εξεδεξαντο δρυν ιεραν μαντικην του Διος εν Δωδωναιῳ ορει της Θεσπροτϊας ως αυτος Ομηρος λεγει εν Οδυσσειᾳ τον δ' ες Δωδωνην φατο βημεναι οφρα θεοιο εκ δρυος υψικομοιο Διος βουλην επακουσαι· αλλοι δε απο ιστοριας τινος ειπον ειρηκεναι τον Ομηρον φασι γαρ την γην βαρουμενην υπ' ανων  πολυπληθ ι α ς μηδεμιας ανων  ουσης ευσεβειας αιτησαι τον Δια κουφισθηναι του αχθουσ· τον δε Δια πρωτον μεν ευθυς ποιησαι Θηβαϊκον πολεμον δι ου πολλους πανυ απωλεσεν· υστερον δε παλιν συμβουλῳ τῳ Μωμῳ χρησαμενος ην Διος βουλην Ομηρος φησιν , επειδη οιος τε ην κεραυνοϊς η κατακλυσμενοις παντας διαφθειρειν οπερ του Μωμου κωλυσαντοσ· υποθεμενου δε αυτῳ την Θετιδος θνητογαμιαν , και θυγατερος , καλης γενναν εξ ων αμφοτερων πολεμος Ελλησι τε και βαρβαροις εγενετο αφ ου συνεβη κουφισθηναι την γην , πολλων αναιρεθεντων η δε ιστορια παρα Στασινῳ τῳ τα Κυπρια πεποιηκοτι ειποντος ουτωσ· ην οτε μυρια φυλα κατα χθονα πλαζομενα βαρυστονου πλατος αιης Ζευς δε ιδων ελεησεν· και εν πυκιναις πραπιδεσσι συνθετο κουφισαι παμβωτορα γαιης ανων  ριπισαι τε πολεμου μεγαλην εριν Ιλιακοιο οφρα κε , νωσειε θανατου βαροσ· οι δ' εν Τροιῃ ηρωες κτεινοντο , Διος δ' ετελειετο βουλη . και τα μεν παρα τοις νεωτεροις ιστορουμενα περι της του Διος βουλης εστι ταδε . ημεις δε φαμεν κατα την Αρισταρχειον και Αριστοφανους δοξαν της Θετιδος ειναι βουλην ην τοις εξης φησι λιτανευουσα τον Δια εκδικησαι την του παιδος ατιμιαν καθαπερ εν τῳ προοιμιῳ ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.12	Ατρειδης τε αναξ	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.12	Αγαμεμνων κατα μεν Ομηρον Ατρεως του Πελοπος · μητρος δε Αεροπ  , κατα δε Ησιοδ  Πλεισθενους , το γενος Μυκηναιος , ος ηγαγε ναυς εις ῎Ϊλιον · εκ πορθησας δε την Ιλιον , και υποστρεψας οικαδε αναιρειτ  υπο Αιγισθου του Θυεστου δολῳ επι ευωχιας ουτος γαρ παρα τον καιρον της αποδημιας εμοιχευσε την Αγαμεμνονος γυναικα Κλυταιμνηστραν κατα δε τους τραγικους αυτην την Κλυταιμνηστραν ανελειν αυτον χϊτωνα μη εχοντα διεκδυσιν τραχηλου· εσχεν δε εξ αυτης υν  μεν Ορεστην και θυγατερας τεσσαρασ· Λοδι  Χρυσοθ  Ιφιγενειαν και Ηλεκτραν ⁑	0	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.13	Λητους και Διος υιος	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.13	Ζευς ερασθεις Λητους της Κοιου θυγατρος ενος των Τιτανων και Φοιβης εγκυον αυτην εποιησεν· ητις δε καμηνιαιον χρονου διαγενομενου παρεγενετο δια θαλασσης εις Αστεριον την νησον μιαν ουσαν των Κυκλαδων εκεισε τε ελθουσαν και αψαμενην δυο φυτων ελαιας και φοινικος διδυμους αποκυησαι· παιδας Αρτεμιν και Απολλωνα και την νησον εκαλεσε Δηλον οτι εξ αδηλου βασεως ερριζωθη ⁑	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.14	στεμματ' εχων εν χερσιν	0	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.14	Λαδωνος του εν Αρκαδιᾳ ποταμου Δαφνη υπηρχε θυγατηρ ευπρεπεστατη . ερασθεις δ' αυτης Απολλων και βουλομενος συγγενεσθαι εδιωκε . καταλαμβανομενης δ' αυτης υπο του θυ  φασιν ευξασθαι τῃ μρι  τη Γῃ χασματι αυτην δεχθηναι· γενομενου δε τουτου και της Γης αναδουσης ομωνυμον φυτον Απολλων θεασαμενος εξεπλαγη· και το μεν δενδρον απο της παρθ  δαφνην προσηγορευσεν ομντως λαβων δε τον κλαδον αυτος εστεψατο ⁑	0	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.15	ευ δ' οικαδ' ϊκεσθ	0	
urn:cts:greekLit:tlg5026.msA.hmt:1.15	δια τι ο Χρυσης κατα των οικειων ηυχετο· λεγομεν οτι πρωτον μεν εδει κολακευειν τον τυραννον και ταυτα λεγ  απερ επεθυμεϊ δρασαι δευτερον δε οτι δια τους Τρωας απολωλεκει την θυγατερα· οθεν ευλογως κεχρηται ταις αραις κατ αυτων·	0	
