urn	text	signs
urn:cts:greekLit:tlg5026.msA.hmt:1.1	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.1	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.2	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.2	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.3	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.3	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.4	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.4	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.5	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.5	1.1	
urn:cts:greekLit:tlg5026.msA.hmt:1.6	1.2	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.6	1.2	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.7	1.2	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.7	1.2	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.8	1.4	
urn:cts:greekLit:tlg5026.msA.hmt:1.8	1.4	
urn:cts:greekLit:tlg5026.msA.hmt:1.9	1.5	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.9	1.5	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.10	1.5-1.6	
urn:cts:greekLit:tlg5026.msA.hmt:1.10	1.5-1.6	
urn:cts:greekLit:tlg5026.msA.hmt:1.11	1.5-1.6	
urn:cts:greekLit:tlg5026.msA.hmt:1.11	1.5-1.6	
urn:cts:greekLit:tlg5026.msA.hmt:1.12	1.7	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.12	1.7	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.13	1.9	
urn:cts:greekLit:tlg5026.msA.hmt:1.13	1.9	
urn:cts:greekLit:tlg5026.msA.hmt:1.14	1.14	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.14	1.14	asteriskos
urn:cts:greekLit:tlg5026.msA.hmt:1.15	1.19	
urn:cts:greekLit:tlg5026.msA.hmt:1.15	1.19	
urn:cts:greekLit:tlg5026.msA.hmt:1.16	1.21	
urn:cts:greekLit:tlg5026.msA.hmt:1.16	1.21	
urn:cts:greekLit:tlg5026.msA.hmt:1.33	1.26	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.33	1.26	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.34	1.28	
urn:cts:greekLit:tlg5026.msA.hmt:1.34	1.28	
urn:cts:greekLit:tlg5026.msA.hmt:1.35	1.29-1.31	
urn:cts:greekLit:tlg5026.msA.hmt:1.35	1.29-1.31	
urn:cts:greekLit:tlg5026.msA.hmt:1.36	1.28	
urn:cts:greekLit:tlg5026.msA.hmt:1.36	1.28	
urn:cts:greekLit:tlg5026.msA.hmt:1.37	1.38	
urn:cts:greekLit:tlg5026.msA.hmt:1.37	1.38	
urn:cts:greekLit:tlg5026.msA.hmt:1.38	1.38	
urn:cts:greekLit:tlg5026.msA.hmt:1.38	1.38	
urn:cts:greekLit:tlg5026.msA.hmt:1.39	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.39	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.40	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.40	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.41	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.41	1.39	
urn:cts:greekLit:tlg5026.msA.hmt:1.42	1.42	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.42	1.42	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.43	1.50	
urn:cts:greekLit:tlg5026.msA.hmt:1.43	1.50	
urn:cts:greekLit:tlg5026.msA.hmt:1.61	1.51	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.61	1.51	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.62	1.51	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.62	1.51	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.63	1.52	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.63	1.52	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.64	1.53	
urn:cts:greekLit:tlg5026.msA.hmt:1.64	1.53	
urn:cts:greekLit:tlg5026.msA.hmt:1.65	1.58	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.65	1.58	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.66	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.66	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.67	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.67	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.68	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.68	1.59	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.69	1.62	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.69	1.62	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.70	1.62-1.63	
urn:cts:greekLit:tlg5026.msA.hmt:1.71	1.62-1.63	
urn:cts:greekLit:tlg5026.msA.hmt:1.72	1.62	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.73	1.63	
urn:cts:greekLit:tlg5026.msA.hmt:1.73	1.63	
urn:cts:greekLit:tlg5026.msA.hmt:1.74	1.65	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.74	1.65	dotteddiple
urn:cts:greekLit:tlg5026.msA.hmt:1.75	1.66	
urn:cts:greekLit:tlg5026.msA.hmt:1.75	1.66	
urn:cts:greekLit:tlg5026.msA.hmt:1.76	1.67	
urn:cts:greekLit:tlg5026.msA.hmt:1.76	1.67	
urn:cts:greekLit:tlg5026.msA.hmt:1.77	1.68	diple
urn:cts:greekLit:tlg5026.msA.hmt:1.77	1.68	diple
