scholion,facs1,facs2,iliadline
urn:cts:greekLit:tlg5026.msA.hmt:1.1,http://www.homermultitext.org/facsimiles/venetus-a/1.1/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.1.html,1.1
urn:cts:greekLit:tlg5026.msA.hmt:1.2,http://www.homermultitext.org/facsimiles/venetus-a/1.1/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.1.html,1.1
urn:cts:greekLit:tlg5026.msA.hmt:1.3,http://www.homermultitext.org/facsimiles/venetus-a/1.1/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.1.html,1.1
urn:cts:greekLit:tlg5026.msA.hmt:1.4,http://www.homermultitext.org/facsimiles/venetus-a/1.1/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.1.html,1.1
urn:cts:greekLit:tlg5026.msA.hmt:1.5,http://www.homermultitext.org/facsimiles/venetus-a/1.1/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.1.html,1.1
urn:cts:greekLit:tlg5026.msA.hmt:1.6,http://www.homermultitext.org/facsimiles/venetus-a/1.2/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.2.html,1.2
urn:cts:greekLit:tlg5026.msA.hmt:1.7,http://www.homermultitext.org/facsimiles/venetus-a/1.2/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.2.html,1.2
urn:cts:greekLit:tlg5026.msA.hmt:1.8,http://www.homermultitext.org/facsimiles/venetus-a/1.4/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.4.html,1.4
urn:cts:greekLit:tlg5026.msA.hmt:1.9,http://www.homermultitext.org/facsimiles/venetus-a/1.5/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.5.html,1.5
urn:cts:greekLit:tlg5026.msA.hmt:1.10,http://www.homermultitext.org/facsimiles/venetus-a/1.5-1.6/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.5-1.6.html,1.5-1.6
urn:cts:greekLit:tlg5026.msA.hmt:1.11,http://www.homermultitext.org/facsimiles/venetus-a/1.5-1.6/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.5-1.6.html,1.5-1.6
urn:cts:greekLit:tlg5026.msA.hmt:1.12,http://www.homermultitext.org/facsimiles/venetus-a/1.7/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.7.html,1.7
urn:cts:greekLit:tlg5026.msA.hmt:1.13,http://www.homermultitext.org/facsimiles/venetus-a/1.9/,https://www.homermultitext.org/facsimiles/venetus-a-2020/pages/urn_cite2_hmt_msA-v1_1.9.html,1.9
